iid,age,gender,race,imprace,imprelig,goal,date,go_out,career_c,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga
60,29.0,0,6.0,3.0,10.0,4.0,6.0,2.0,6.0,4.0,10.0,5.0,20.0,25.0,15.0,15.0,20.0,60.0,10.0,10.0,10.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0
61,28.0,0,2.0,1.0,5.0,1.0,5.0,2.0,2.0,5.0,5.0,15.0,15.0,20.0,15.0,15.0,20.0,40.0,12.0,12.0,12.0,12.0,12.0,7.0,10.0,10.0,7.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,1.0,1.0,5.0,10.0,10.0,10.0,5.0,1.0,5.0,10.0,6.0,10.0,10.0,8.0,10.0,8.0,7.0
62,26.0,0,3.0,1.0,1.0,2.0,7.0,2.0,1.0,5.0,1.0,30.0,10.0,20.0,20.0,10.0,10.0,60.0,5.0,5.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,5.0,7.0,8.0,6.0,6.0,7.0,7.0,7.0,7.0,3.0,2.0,9.0,7.0,9.0,9.0,2.0
63,24.0,0,4.0,1.0,3.0,3.0,6.0,1.0,10.0,6.0,2.0,5.0,15.0,31.610603435343535,25.0,0.0,10.0,50.0,5.0,20.0,15.0,0.0,10.0,6.0,8.0,8.0,9.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,5.0,3.0,8.0,6.0,9.0,8.0,5.0,1.0,2.0,10.0,1.0,8.0,9.0,4.0,5.0,6.0,2.0
64,27.0,0,4.0,6.0,3.0,2.0,6.0,5.0,9.0,3.0,2.0,10.0,25.0,25.0,10.0,10.0,20.0,20.0,15.0,15.0,20.0,15.0,15.0,8.0,8.0,9.0,6.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,5.0,3.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,5.0
65,23.0,0,6.0,6.0,3.0,2.0,5.0,3.0,3.0,7.0,10.0,17.0,17.0,17.0,17.0,17.0,15.0,20.0,18.0,18.0,14.0,15.0,15.0,7.0,9.0,8.0,9.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,7.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,6.0
66,29.0,1,3.0,1.0,1.0,2.0,6.0,4.0,7.0,5.0,3.0,20.0,25.0,15.0,15.0,30.0,20.0,15.0,20.0,20.0,20.0,10.0,15.0,6.0,7.0,8.0,7.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,4.0,2.0,3.0,6.0,4.0,3.0,3.0,6.0,4.0,8.0,6.0,4.0,8.0,4.0,6.0,4.0,2.0
67,22.0,1,6.0,1.0,1.0,6.0,5.0,2.0,1.0,5.0,1.0,20.0,15.0,20.0,20.0,5.0,10.0,17.0,20.0,17.0,20.0,11.0,15.0,5.0,7.0,7.0,6.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,9.0,9.0,6.0,7.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,3.0,9.0,9.0,9.0,2.0,1.0
68,27.0,1,1.0,1.0,1.0,5.0,4.0,3.0,6.0,5.0,2.0,21.0,17.0,22.0,20.0,8.0,13.0,18.0,15.0,17.0,14.0,20.0,16.0,6.0,8.0,8.0,7.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,3.0,2.0,2.0,7.0,8.0,8.0,3.0,3.0,7.0,10.0,7.0,5.0,9.0,7.0,7.0,7.0,1.0
69,28.0,1,2.0,2.0,2.0,6.0,6.0,1.0,7.0,3.0,0.0,40.0,10.0,30.0,10.0,0.0,0.0,20.0,10.0,35.0,20.0,10.0,1.5608597264851731,5.0,9.0,8.0,5.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,10.0,7.0,5.0,5.0,3.0,2.0,1.0,3.0,9.0,8.0,2.0,4.0,7.0,6.0,7.0,2.0,1.0
70,26.0,1,2.0,5.0,1.0,5.0,2.0,1.0,7.0,3.0,2.0,25.0,10.0,20.0,20.0,15.0,10.0,20.0,5.0,25.0,27.5,15.0,5.0,8.0,6.5,9.0,8.0,6.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,9.0,4.0,9.0,5.0,7.0,5.0,7.0,5.0,5.0,8.0,3.0,7.0,8.0,5.0,8.0,5.0,6.0
71,21.0,1,2.0,6.0,7.0,5.0,6.0,2.0,14.0,9.0,5.0,40.0,15.0,8.702327607760777,15.0,0.0,10.0,70.0,10.0,0.0,10.0,0.0,1.5608597264851731,6.0,8.0,10.0,8.0,10.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,9.0,10.0,6.0,4.0,3.0,3.0,7.0,6.0,7.0,7.0,8.0,3.0,10.0,6.0,8.0,2.0,1.0
72,22.0,1,2.0,8.0,1.0,5.0,6.0,1.0,7.0,7.0,9.0,21.0,20.0,19.0,20.0,10.0,10.0,30.0,15.0,10.0,20.0,10.0,15.0,7.0,9.0,8.0,8.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,3.0,7.0,10.0,6.0,6.0,7.0,2.0,9.0,5.0,6.0,7.0,7.0,6.0,8.0,8.0,4.0
73,22.0,1,2.0,7.0,3.0,6.0,4.0,2.0,7.0,2.0,4.0,30.0,10.0,20.0,27.5,0.0,10.0,20.0,10.0,20.0,27.5,10.0,10.0,7.0,7.0,7.0,8.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,6.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,6.0,4.0,1.0
74,25.0,1,2.0,3.0,1.0,5.0,7.0,2.0,5.0,9.0,2.0,30.0,7.316911617676465,30.0,27.5,10.0,0.0,30.0,0.0,10.0,27.5,10.0,20.0,7.0,9.0,8.0,9.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,3.0,5.0,9.0,10.0,10.0,9.0,6.0,8.0,10.0,2.0,9.0,10.0,8.0,8.0,3.0,5.0
75,24.0,1,6.0,3.0,3.0,6.0,5.0,3.0,1.0,5.0,1.0,20.0,20.0,20.0,20.0,10.0,10.0,15.0,15.0,15.0,20.0,20.0,15.0,7.0,7.0,8.0,8.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,7.0,7.0,7.0,7.0,5.0,9.0,8.0,8.0,5.0,7.0,6.0,8.0,5.0,5.0
76,34.0,0,2.0,5.0,7.0,2.0,7.0,2.0,2.0,6.0,4.0,10.0,10.0,30.0,20.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0,6.0,6.5,8.0,6.0,4.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,1.0,7.0,6.0,8.0,8.0,8.0,5.0,1.0,7.0,7.0,4.0,8.0,8.0,8.0,7.0,7.0,7.0
77,22.0,0,2.0,2.0,2.0,1.0,4.0,2.0,11.0,6.0,4.0,15.0,20.0,20.0,20.0,15.0,10.0,40.0,5.0,20.0,20.0,10.0,5.0,6.0,8.0,8.0,8.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,7.0,1.0,10.0,9.0,9.0,9.0,8.0,3.0,6.0,6.0,6.0,8.0,8.0,10.0,10.0,7.0,9.0
78,23.0,0,3.0,1.0,4.0,2.0,7.0,3.0,11.0,7.0,0.0,10.0,25.0,20.0,10.0,20.0,15.0,40.0,5.0,10.0,20.0,10.0,15.0,3.0,10.0,8.0,4.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,5.0,1.0,7.0,7.0,9.0,5.0,9.0,1.0,3.0,9.0,3.0,9.0,9.0,9.0,7.0,5.0,10.0
79,26.0,0,4.0,8.0,8.0,2.0,7.0,1.0,5.0,5.0,3.0,10.0,20.0,15.0,20.0,20.0,15.0,15.0,15.0,15.0,20.0,15.0,20.0,7.0,9.0,7.0,8.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0
80,27.0,0,4.0,3.0,1.0,1.0,5.0,4.0,2.0,7.0,10.0,10.0,20.0,20.0,10.0,20.0,20.0,25.0,20.0,10.0,20.0,10.0,15.0,8.0,8.0,8.0,8.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,7.0,7.0,7.0,9.0,2.0
81,28.0,0,2.0,6.0,9.0,5.0,5.0,2.0,6.0,5.0,6.0,10.0,10.0,20.0,20.0,20.0,20.0,40.0,5.0,15.0,20.0,10.0,10.0,8.0,7.0,7.0,8.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,6.0,2.0,7.0,9.0,9.0,7.0,7.0,1.0,7.0,7.0,7.0,9.0,9.0,7.0,7.0,7.0,4.0
82,25.0,0,6.0,2.0,7.0,1.0,3.0,2.0,2.0,7.0,2.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,15.0,20.0,20.0,5.0,10.0,8.0,9.0,8.0,8.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,6.0,7.0
83,34.0,0,3.0,1.0,5.0,2.0,6.0,1.0,7.0,6.0,3.0,10.0,27.60985302939412,20.0,12.0,11.0,15.0,15.0,25.0,10.0,15.0,10.0,24.065233789191378,5.0,9.0,6.5,9.0,5.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0
84,32.0,0,3.0,1.0,1.0,2.0,4.0,1.0,4.0,7.0,5.0,30.0,27.60985302939412,30.0,7.5,0.0,5.0,50.0,5.0,5.0,20.0,0.0,20.0,7.0,9.0,8.0,7.0,5.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,7.0,1.0,9.0,9.0,9.0,9.0,3.0,1.0,9.0,9.0,1.0,9.0,10.0,9.0,9.0,5.0,5.0
85,30.0,0,2.0,3.0,5.0,2.0,6.0,4.0,9.0,4.0,4.0,20.0,25.0,15.0,15.0,15.0,10.0,25.0,15.0,15.0,25.0,10.0,10.0,7.0,9.0,8.0,9.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,2.0,3.0,4.0,9.0,8.0,6.0,8.0,4.0,7.0,8.0,4.0,6.0,7.0,5.0,8.0,5.0,3.0
86,22.0,0,2.0,1.0,1.0,2.0,7.0,1.0,2.0,6.0,10.0,15.0,20.0,20.0,20.0,5.0,20.0,40.0,10.0,10.0,10.0,10.0,20.0,7.0,9.0,9.0,9.0,4.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,2.0,2.0,1.0,4.0,7.0,7.0,2.0,1.0,6.0,4.0,7.0,5.0,10.0,10.0,10.0,2.0,2.0
87,23.0,0,2.0,8.0,10.0,1.0,3.0,2.0,9.0,4.0,10.0,15.0,15.0,20.0,15.0,15.0,20.0,15.0,15.0,20.0,15.0,15.0,20.0,9.0,9.0,9.0,9.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,10.0,5.0,10.0,8.0,7.0,7.0,8.0,4.0,9.0,9.0,6.0,7.0,10.0,9.0,10.0,7.0,9.0
88,23.0,0,2.0,8.0,7.0,1.0,4.0,4.0,9.0,5.0,10.0,15.0,15.0,20.0,15.0,20.0,15.0,15.0,15.0,20.0,15.0,20.0,15.0,9.0,9.0,9.0,9.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,7.0,10.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,9.0,10.0,8.0,10.0,9.0,3.0
89,27.0,0,2.0,3.0,2.0,1.0,7.0,3.0,2.0,5.0,6.0,25.0,15.0,20.0,20.0,20.0,0.0,50.0,10.0,10.0,20.0,5.0,5.0,8.0,9.0,9.0,8.0,10.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,10.0,8.0,8.0,7.0,8.0,9.0,8.0,1.0,9.0,8.0,8.0,9.0,4.0,2.0
90,23.0,0,4.0,4.0,1.0,2.0,7.0,6.0,10.0,5.0,0.0,15.0,21.0,18.0,18.0,10.0,18.0,10.0,25.0,15.0,15.0,10.0,24.065233789191378,5.0,8.0,7.0,5.0,5.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,9.0,6.0,5.0,8.0,9.0,6.0,3.0,1.0,10.0,6.0,7.0,8.0,7.0,6.0,4.0,1.0
91,25.0,0,6.0,6.0,8.0,1.0,3.0,2.0,1.0,5.0,3.0,15.0,7.316911617676465,31.610603435343535,20.0,2.0,10.0,65.0,0.0,8.0,20.0,2.0,5.0,6.0,7.0,9.0,7.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,4.0,2.0,5.0,7.0,7.0,5.0,7.0,3.0,5.0,7.0,7.0,10.0,8.0,8.0,7.0,6.0,2.0
92,29.0,0,2.0,1.0,2.0,5.0,6.0,1.0,7.0,5.0,6.0,10.0,20.0,20.0,20.0,20.0,10.0,30.0,10.0,10.0,27.5,10.0,10.0,9.0,10.0,9.0,9.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,7.0,2.0,8.0,10.0,9.0,9.0,9.0,2.0,9.0,10.0,4.0,10.0,10.0,8.0,10.0,6.0,9.0
93,29.0,0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,6.0,2.0,14.0,20.0,18.0,24.0,18.0,6.0,30.0,15.0,15.0,20.0,10.0,10.0,8.0,8.0,8.0,8.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0
94,28.0,1,4.0,6.0,8.0,2.0,6.0,3.0,7.0,5.0,2.0,20.0,20.0,20.0,10.0,10.0,20.0,50.0,0.0,30.0,20.0,0.0,1.5608597264851731,6.0,9.0,9.0,9.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0
95,26.0,1,2.0,7.0,5.0,1.0,5.0,2.0,7.0,6.0,6.0,18.0,18.0,18.0,19.0,13.0,14.0,16.0,15.0,19.0,23.0,14.0,13.0,7.0,9.0,10.0,8.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0
96,26.0,1,3.0,3.0,6.0,1.0,7.0,1.0,2.0,7.0,3.0,10.0,20.0,20.0,22.0,6.0,22.0,20.0,25.0,15.0,20.0,10.0,10.0,7.0,9.0,9.0,9.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,5.0,8.0,7.0,10.0,10.0,8.0,10.0,6.0,8.0,8.0,3.0,8.0,9.0,8.0,7.0,7.0,3.0
97,29.0,1,2.0,4.0,1.0,2.0,5.0,2.0,2.0,5.0,5.0,40.0,7.316911617676465,20.0,23.0,0.0,0.0,30.0,10.0,12.0,8.0,25.5,10.0,7.0,6.5,6.5,7.0,6.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,4.0,3.0,3.0,6.0,1.0,5.0,8.0,3.0,2.0,7.0,3.0,7.0,3.0,5.0
98,34.0,1,2.0,1.0,1.0,4.0,4.0,2.0,2.0,5.0,5.0,40.0,20.0,15.0,20.0,0.0,5.0,30.0,14.0,14.0,14.0,14.0,14.0,8.0,8.0,8.0,8.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,3.0,3.0,5.0,1.0,7.0,7.0,3.0,7.0,8.0,6.0,8.0,2.0,7.0
99,28.0,1,2.0,1.0,1.0,3.0,3.0,2.0,1.0,8.0,18.0,30.0,27.60985302939412,20.0,10.0,10.0,0.0,20.0,20.0,20.0,10.0,25.0,5.0,10.0,10.0,10.0,10.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,8.0,10.0,10.0,5.0,5.0,9.0,6.0,6.0,10.0,10.0,10.0,10.0,8.0,5.0
100,30.0,1,6.0,8.0,9.0,1.0,3.0,2.0,2.0,5.0,4.0,20.0,25.0,25.0,15.0,5.0,10.0,20.0,15.0,20.0,15.0,15.0,15.0,7.0,8.0,9.0,8.0,6.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,5.0,4.0,6.0,7.0,6.0,6.0,2.0,2.0,4.0,6.0,5.0,7.0,7.0,3.0,7.0,6.0,2.0
101,22.0,1,4.0,3.0,2.0,3.0,4.0,3.0,7.0,7.0,14.0,40.0,8.0,10.0,12.0,10.0,20.0,20.0,10.0,10.0,27.5,10.0,20.0,8.0,8.0,9.0,8.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,7.0,8.0,8.0,4.0
102,32.0,1,2.0,2.0,6.0,1.0,4.0,4.0,2.0,6.0,18.0,30.0,10.0,30.0,20.0,10.0,0.0,10.0,30.0,20.0,27.5,10.0,1.5608597264851731,8.0,6.5,10.0,7.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,4.0,4.0,7.0,2.0,5.0,5.0,4.0,4.0,9.0,3.0,5.0,5.0,2.0
103,26.0,1,2.0,8.0,9.0,2.0,4.0,1.0,7.0,6.0,5.0,40.0,7.316911617676465,20.0,10.0,10.0,15.0,40.0,5.0,10.0,20.0,15.0,10.0,8.0,8.0,9.0,8.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,6.0,4.0,8.0,5.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,6.0,3.0
104,27.0,1,2.0,6.0,8.0,2.0,5.0,3.0,2.0,8.0,3.0,20.0,15.0,25.0,15.0,20.0,5.0,15.0,20.0,20.0,20.0,15.0,10.0,9.0,8.0,9.0,7.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,3.0,8.0,9.0,8.0,8.0,9.0,5.0,8.0,7.0,3.0,8.0,7.0,6.0,8.0,3.0,7.0
105,25.0,1,1.0,1.0,1.0,2.0,7.0,1.0,1.0,5.0,1.0,30.0,15.0,20.0,20.0,0.0,5.0,25.0,15.0,20.0,15.0,10.0,15.0,8.0,7.0,8.0,9.0,6.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,9.0,9.0,6.0,8.0,5.0,5.0,3.0,4.0,7.0,8.0,6.0,6.0,7.0,4.0,7.0,5.0,5.0
106,22.0,1,3.0,1.0,3.0,5.0,7.0,3.0,1.0,5.0,2.0,10.0,20.0,31.610603435343535,10.0,5.0,20.0,20.0,15.0,20.0,20.0,5.0,20.0,4.0,7.0,9.0,4.0,4.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,2.0,4.0,2.0,9.0,6.0,5.0,4.0,9.0,2.0,9.0,8.0,7.0,9.0,2.375,8.0,5.0,3.0
107,21.0,1,2.0,1.0,1.0,1.0,4.0,1.0,2.0,6.0,3.0,19.0,24.0,21.0,23.0,5.0,8.0,22.0,20.0,18.0,23.0,10.0,7.0,7.0,9.0,9.0,9.0,6.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,7.0,2.0,4.0,7.0,6.0,7.0,8.0,1.0,7.0,7.0,1.0,5.0,7.0,9.0,9.0,1.0,10.0
108,24.0,1,2.0,1.0,1.0,1.0,6.0,3.0,5.0,5.0,2.0,10.0,20.0,31.610603435343535,20.0,0.0,15.0,25.0,25.0,15.0,15.0,10.0,10.0,4.0,8.0,7.0,4.0,4.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0
109,25.0,1,4.0,1.0,1.0,1.0,4.0,1.0,6.0,5.0,3.0,15.0,10.0,30.0,10.0,5.0,27.505,20.0,15.0,15.0,15.0,20.0,15.0,6.0,9.0,9.0,8.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0
110,28.0,1,2.0,4.0,6.0,2.0,6.0,1.0,6.0,6.0,3.0,20.0,20.0,15.0,15.0,5.0,25.0,20.0,20.0,15.0,15.0,5.0,24.065233789191378,7.0,9.0,8.0,8.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,4.0,3.0,8.0,7.0,7.0,9.0,8.0,2.0,3.0,7.0,5.0,7.0,9.0,7.0,8.0,3.0,6.0
111,27.0,1,4.0,7.0,1.0,5.0,5.0,1.0,7.0,9.0,1.0,20.0,20.0,20.0,20.0,10.0,10.0,25.0,20.0,15.0,15.0,10.0,15.0,5.0,8.0,8.0,5.0,5.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,1.0,5.0,9.0,5.0,8.0,9.0,8.0,5.0,3.0,5.0
112,20.0,0,6.0,1.0,1.0,1.0,3.0,1.0,11.0,4.0,4.0,15.0,15.0,20.0,25.0,10.0,15.0,45.0,15.0,10.0,20.0,0.0,5.0,9.0,10.0,9.0,9.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,3.0,8.0,5.0,7.0,8.0,8.0,8.0,9.0,9.0,3.0,8.0,8.0,9.0,10.0,4.0,6.0
113,21.0,0,2.0,3.0,8.0,1.0,4.0,1.0,10.0,7.0,19.5,15.0,15.0,25.0,25.0,15.0,5.0,30.0,5.0,15.0,25.0,10.0,20.0,8.0,10.0,8.0,10.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,5.0,3.0,7.0,10.0,9.0,8.0,7.0,2.0,6.0,8.0,7.0,10.0,10.0,9.0,10.0,10.0,7.0
114,20.0,0,1.0,2.0,4.0,2.0,7.0,4.0,6.0,6.0,4.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,20.0,20.0,10.0,10.0,7.0,9.0,6.5,8.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,6.0,8.0,3.0,4.0,4.0,3.0,5.0,2.0,6.0,8.0,7.0,6.0,7.0,6.0,9.0,2.0,2.0
115,21.0,0,2.0,10.0,7.0,1.0,5.0,1.0,3.0,3.0,12.0,20.0,10.0,30.0,20.0,15.0,5.0,40.0,10.0,20.0,20.0,0.0,10.0,8.0,7.0,9.0,8.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,2.0,2.0,8.0,7.0,3.0,3.0,1.0,1.0,8.0,10.0,2.0,2.0,6.0,4.0,7.0,8.0,1.0
116,21.0,0,2.0,4.0,1.0,1.0,1.0,1.0,10.0,7.0,19.5,15.0,15.0,25.0,25.0,20.0,0.0,30.0,5.0,10.0,27.5,5.0,20.0,8.0,9.0,9.0,8.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,5.0,4.0,3.0,10.0,10.0,10.0,6.0,4.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0
